,date,btc_average
192,2020-07-20,9176.26
193,2020-07-19,9166.810000000001
194,2020-07-18,9170.2
195,2020-07-17,9138.32
196,2020-07-16,9136.7
197,2020-07-15,9218.529999999999
198,2020-07-14,9196.27
199,2020-07-13,9272.355
200,2020-07-12,9251.25
201,2020-07-11,9238.765
202,2020-07-10,9221.24
203,2020-07-09,9300.395
204,2020-07-08,9350.5
205,2020-07-07,9291.21
206,2020-07-06,9215.46
207,2020-07-05,9019.135
208,2020-07-04,9115.02
209,2020-07-03,9081.235
210,2020-07-02,9100.98
211,2020-07-01,9186.05
212,2020-06-30,9134.945
213,2020-06-29,9131.335
214,2020-06-28,9069.529999999999
215,2020-06-27,9014.619999999999
216,2020-06-26,9171.725
217,2020-06-25,9174.845000000001
218,2020-06-24,9439.0
219,2020-06-23,9648.515
220,2020-06-22,9528.545
221,2020-06-21,9351.77
222,2020-06-20,9282.975
223,2020-06-19,9327.045
224,2020-06-18,9384.5
225,2020-06-17,9400.805
226,2020-06-16,9481.045
227,2020-06-15,9202.725
228,2020-06-14,9362.994999999999
229,2020-06-13,9422.865
230,2020-06-12,9394.815
231,2020-06-11,9538.5
232,2020-06-10,9848.45
233,2020-06-09,9723.5
234,2020-06-08,9716.5
235,2020-06-07,9587.23
236,2020-06-06,9633.025
237,2020-06-05,9717.875
238,2020-06-04,9665.814999999999
239,2020-06-03,9527.605
240,2020-06-02,9747.494999999999
241,2020-06-01,9900.835
242,2020-05-31,9540.705
243,2020-05-30,9535.615
244,2020-05-29,9467.630000000001
245,2020-05-28,9367.735
246,2020-05-27,9018.365
247,2020-05-26,8858.835
248,2020-05-25,8811.189999999999
249,2020-05-24,8999.0
250,2020-05-23,9188.925
251,2020-05-22,9102.26
252,2020-05-21,9196.735
253,2020-05-20,9584.0
254,2020-05-19,9685.605
255,2020-05-18,9707.115
256,2020-05-17,9605.05
257,2020-05-16,9404.0
258,2020-05-15,9497.810000000001
259,2020-05-14,9597.880000000001
260,2020-05-13,9095.494999999999
261,2020-05-12,8753.52
262,2020-05-11,8684.0
263,2020-05-10,8845.915
264,2020-05-09,9717.125
265,2020-05-08,9870.48
266,2020-05-07,9544.0
267,2020-05-06,9150.605
268,2020-05-05,8939.29
269,2020-05-04,8736.0
270,2020-05-03,8956.0
271,2020-05-02,8881.5
272,2020-05-01,8836.369999999999
273,2020-04-30,8930.5
274,2020-04-29,8331.47
275,2020-04-28,7719.5599999999995
276,2020-04-27,7699.01
277,2020-04-26,7590.0
278,2020-04-25,7568.035
279,2020-04-24,7501.98
280,2020-04-23,7379.0
281,2020-04-22,6987.1900000000005
282,2020-04-21,6851.0
283,2020-04-20,6985.5
284,2020-04-19,7160.875
285,2020-04-18,7153.74
286,2020-04-17,7060.549999999999
287,2020-04-16,6829.135
288,2020-04-15,6769.0
289,2020-04-14,6866.139999999999
290,2020-04-13,6739.395
291,2020-04-12,6978.5
292,2020-04-11,6852.15
293,2020-04-10,7017.865
294,2020-04-09,7240.0
295,2020-04-08,7285.0
296,2020-04-07,7268.344999999999
297,2020-04-06,7060.07
298,2020-04-05,6786.530000000001
299,2020-04-04,6820.21
300,2020-04-03,6825.05
301,2020-04-02,6874.5
302,2020-04-01,6415.025
303,2020-03-31,6422.315
304,2020-03-30,6228.38
305,2020-03-29,6066.280000000001
306,2020-03-28,6192.0
307,2020-03-27,6551.795
308,2020-03-26,6645.0
309,2020-03-25,6703.98
310,2020-03-24,6602.165
311,2020-03-23,6144.0
312,2020-03-22,6070.9400000000005
313,2020-03-21,6158.5
314,2020-03-20,6285.0
315,2020-03-19,5826.264999999999
316,2020-03-18,5222.77
317,2020-03-17,5223.225
318,2020-03-16,4903.77
319,2020-03-15,5516.55
320,2020-03-14,5347.825000000001
321,2020-03-13,4868.5650000000005
322,2020-03-12,6188.085
323,2020-03-11,7785.0
324,2020-03-10,7938.505
325,2020-03-09,7905.66
326,2020-03-08,8443.380000000001
327,2020-03-07,9011.5
328,2020-03-06,9077.75
329,2020-03-05,8952.98
330,2020-03-04,8754.145
331,2020-03-03,8785.325
332,2020-03-02,8731.875
333,2020-03-01,8580.5
334,2020-02-29,8656.775
335,2020-02-28,8672.5
336,2020-02-27,8751.385
337,2020-02-26,9005.535
338,2020-02-25,9462.5
339,2020-02-24,9731.779999999999
340,2020-02-23,9817.5
341,2020-02-22,9634.595000000001
342,2020-02-21,9652.86
343,2020-02-20,9549.5
344,2020-02-19,9800.0
345,2020-02-18,9913.005000000001
346,2020-02-17,9708.415
347,2020-02-16,9844.060000000001
348,2020-02-15,10088.0
349,2020-02-14,10246.465
350,2020-02-13,10290.0
351,2020-02-12,10336.54
352,2020-02-11,10011.795
353,2020-02-10,9972.0
354,2020-02-09,10023.375
355,2020-02-08,9803.555
