,date,btc_average
0,2021-01-25,32459.985
1,2021-01-24,31985.5
2,2021-01-23,32423.08
3,2021-01-22,31338.265
4,2021-01-21,32835.5
5,2021-01-20,34907.655
6,2021-01-19,36847.03
7,2021-01-18,36134.915
8,2021-01-17,35351.25
9,2021-01-16,36653.9
10,2021-01-15,37077.880000000005
11,2021-01-14,38400.615000000005
12,2021-01-13,35115.0
13,2021-01-12,34579.5
14,2021-01-11,34342.369999999995
15,2021-01-10,38230.555
16,2021-01-09,40050.0
17,2021-01-08,39225.0
18,2021-01-07,38332.5
19,2021-01-06,35113.604999999996
20,2021-01-05,32130.0
21,2021-01-04,30865.0
22,2021-01-03,33370.55
23,2021-01-02,31123.265
24,2021-01-01,29112.285
25,2020-12-31,28575.0
26,2020-12-30,28158.0
27,2020-12-29,26645.0
28,2020-12-28,26800.5
29,2020-12-27,27061.0
30,2020-12-26,25683.515
31,2020-12-25,24111.73
32,2020-12-24,23248.925
33,2020-12-23,23350.0
34,2020-12-22,23095.25
35,2020-12-21,22958.885000000002
36,2020-12-20,23677.5
37,2020-12-19,23460.735
38,2020-12-18,22817.59
39,2020-12-17,22515.0
40,2020-12-16,20419.3
41,2020-12-15,19310.0
42,2020-12-14,19174.5
43,2020-12-13,19061.059999999998
44,2020-12-12,18484.68
45,2020-12-11,17932.53
46,2020-12-10,18234.22
47,2020-12-09,18144.785
48,2020-12-08,18747.42
49,2020-12-07,19161.895
50,2020-12-06,19138.5
51,2020-12-05,18838.5
52,2020-12-04,19046.155
53,2020-12-03,19232.6
54,2020-12-02,18836.0
55,2020-12-01,18944.559999999998
56,2020-11-30,19024.075
57,2020-11-29,17938.525
58,2020-11-28,17373.025
59,2020-11-27,16947.85
60,2020-11-26,17551.515
61,2020-11-25,18992.239999999998
62,2020-11-24,18718.485
63,2020-11-23,18383.0
64,2020-11-22,18180.43
65,2020-11-21,18637.24
66,2020-11-20,18277.63
67,2020-11-19,17757.725
68,2020-11-18,17845.690000000002
69,2020-11-17,17198.41
70,2020-11-16,16372.0
71,2020-11-15,15977.36
72,2020-11-14,15998.494999999999
73,2020-11-13,16216.175
74,2020-11-12,15890.67
75,2020-11-11,15618.84
76,2020-11-10,15266.23
77,2020-11-09,15322.77
78,2020-11-08,15176.939999999999
79,2020-11-07,15048.869999999999
80,2020-11-06,15563.0
81,2020-11-05,14921.779999999999
82,2020-11-04,13892.0
83,2020-11-03,13675.55
84,2020-11-02,13512.525
85,2020-11-01,13749.0
86,2020-10-31,13755.75
87,2020-10-30,13392.49
88,2020-10-29,13281.84
89,2020-10-28,13373.74
90,2020-10-27,13404.580000000002
91,2020-10-26,13001.904999999999
92,2020-10-25,13119.0
93,2020-10-24,13018.365
94,2020-10-23,12873.885
95,2020-10-22,12931.54
96,2020-10-21,12552.315
97,2020-10-20,11857.985
98,2020-10-19,11615.974999999999
99,2020-10-18,11425.61
100,2020-10-17,11328.71
101,2020-10-16,11370.575
102,2020-10-15,11434.085
103,2020-10-14,11413.99
104,2020-10-13,11428.5
105,2020-10-12,11446.005000000001
106,2020-10-11,11333.0
107,2020-10-10,11270.755000000001
