date,stonk_close
2021-03-10,389.58
2021-03-09,387.17
2021-03-08,381.72
2021-03-05,383.63
2021-03-04,376.7
2021-03-03,381.42
2021-03-02,386.54
2021-03-01,389.58
2021-02-26,380.36
2021-02-25,382.33
2021-02-24,391.77
2021-02-23,387.5
2021-02-22,387.03
2021-02-19,390.03
2021-02-18,390.72
2021-02-17,392.39
2021-02-16,392.3
2021-02-12,392.64
2021-02-11,390.71
2021-02-10,390.08
2021-02-09,390.25
2021-02-08,390.51
2021-02-05,387.71
2021-02-04,386.19
2021-02-03,381.85
2021-02-02,381.55
2021-02-01,376.23
2021-01-29,370.07
2021-01-28,377.63
2021-01-27,374.41
2021-01-26,383.79
2021-01-25,384.39
2021-01-22,382.88
2021-01-21,384.24
2021-01-20,383.89
2021-01-19,378.65
2021-01-15,375.7
2021-01-14,378.46
2021-01-13,379.79
2021-01-12,378.77
2021-01-11,378.69
2021-01-08,381.26
2021-01-07,379.1
2021-01-06,373.55
2021-01-05,371.33
2021-01-04,368.79
2020-12-31,373.88
2020-12-30,371.99
2020-12-29,371.46
2020-12-28,372.17
2020-12-24,369.0
2020-12-23,367.57
2020-12-22,367.24
2020-12-21,367.86
2020-12-18,369.18
2020-12-17,370.653692955
2020-12-16,368.592514295
2020-12-15,368.014985975
2020-12-14,363.105995253
2020-12-11,364.739006365
2020-12-10,365.167173913
2020-12-09,365.286662531
2020-12-08,368.592514295
2020-12-07,367.517116733
2020-12-04,368.27387798
2020-12-03,365.127344374
2020-12-02,365.226918222
2020-12-01,364.46019959
2020-11-30,360.517075197
2020-11-27,362.120214155
2020-11-25,361.114518287
2020-11-24,361.672131837
2020-11-23,355.936678175
2020-11-20,353.815755206
2020-11-19,356.255314489
2020-11-18,354.761706764
2020-11-17,359.083211781
2020-11-16,361.024901823
2020-11-13,356.573950804
2020-11-12,351.704789621
2020-11-11,355.150044773
2020-11-10,352.531252562
2020-11-09,353.049036574
2020-11-06,348.667787248
2020-11-05,348.747446326
2020-11-04,342.07599849
2020-11-03,334.598002481
2020-11-02,328.792847125
2020-10-30,325.148444277
2020-10-29,328.573784659
2020-10-28,325.267932895
2020-10-27,336.778669759
2020-10-26,337.943683785
2020-10-23,344.306452692
2020-10-22,343.141438667
2020-10-21,341.269450318
2020-10-20,341.916680332
2020-10-19,340.55251861
2020-10-16,345.810017801
2020-10-15,346.019122883
2020-10-14,346.44729043
2020-10-13,348.637915093
2020-10-12,350.928113604
2020-10-09,345.371892869
2020-10-08,342.314975726
2020-10-07,339.307845507
2020-10-06,333.50269015
2020-10-05,338.312107023
2020-10-02,332.417335203
2020-10-01,335.603698349
2020-09-30,333.462860611
2020-09-29,330.953599633
2020-09-28,332.765843672
2020-09-25,327.329111555
2020-09-24,322.121399288
