date,stonk_close
2021-03-10,133.58
2021-03-09,132.25
2021-03-08,132.13
2021-03-05,133.03
2021-03-04,128.83
2021-03-03,128.123110452
2021-03-02,130.037913017
2021-03-01,129.59145646
2021-02-26,128.172716736
2021-02-25,128.976338538
2021-02-24,131.049881211
2021-02-23,131.734447931
2021-02-22,130.950668643
2021-02-19,131.466573997
2021-02-18,134.304053445
2021-02-17,133.401219075
2021-02-16,133.321849021
2021-02-12,132.815864924
2021-02-11,133.907203173
2021-02-10,136.615706282
2021-02-09,138.500745076
2021-02-08,139.294445621
2021-02-05,139.850036002
2021-02-04,138.580115131
2021-02-03,136.9331865
2021-02-02,137.290351745
2021-02-01,135.901375792
2021-01-29,135.494604263
2021-01-28,138.093973547
2021-01-27,136.953029014
2021-01-26,140.683421574
2021-01-25,139.076177971
2021-01-22,137.498698138
2021-01-21,138.510666333
2021-01-20,140.217122504
2021-01-19,140.941374252
2021-01-15,140.276650045
2021-01-14,140.643736547
2021-01-13,141.467200863
2021-01-12,140.316335072
2021-01-11,140.971138022
2021-01-08,143.044680695
2021-01-07,141.348145781
2021-01-06,141.804523594
2021-01-05,143.56058605
2021-01-04,143.133972007
2020-12-31,147.132238501
2020-12-30,146.150034077
2020-12-29,146.259167902
2020-12-28,145.753183805
2020-12-24,143.917751295
2020-12-23,143.272869602
2020-12-22,142.885940586
2020-12-21,144.255074026
2020-12-18,145.773026318
2020-12-17,144.562632987
2020-12-16,143.749089929
2020-12-15,143.630034847
2020-12-14,143.094286979
2020-12-11,143.828459983
2020-12-10,143.530822279
2020-12-09,144.542790474
2020-12-08,144.374129108
2020-12-07,144.225310256
2020-12-04,144.701530583
2020-12-03,143.312554629
2020-12-02,142.472712372
2020-12-01,143.901183074
2020-11-30,142.08850301
2020-11-27,142.453009328
2020-11-25,142.019542356
2020-11-24,141.891472569
2020-11-23,140.896468838
2020-11-20,141.290529722
2020-11-19,141.192014501
2020-11-18,141.251123633
2020-11-17,143.083506741
2020-11-16,143.595785889
2020-11-13,142.56137607
2020-11-12,141.704293649
2020-11-11,141.763402782
2020-11-10,139.615770967
2020-11-09,136.394323246
2020-11-06,136.325362592
2020-11-05,136.000262363
2020-11-04,135.813083443
2020-11-03,135.005258632
2020-11-02,133.143320959
2020-10-30,131.310937851
2020-10-29,132.000544397
2020-10-28,132.177871794
2020-10-27,137.054375226
2020-10-26,136.010113885
2020-10-23,137.487842197
2020-10-22,137.537099808
2020-10-21,137.527248286
2020-10-20,137.635615029
2020-10-19,137.606060462
2020-10-16,139.62562249
2020-10-15,139.330076827
2020-10-14,140.403892734
2020-10-13,141.408747987
2020-10-12,140.019683373
2020-10-09,136.384471724
2020-10-08,135.803231921
2020-10-07,134.975704066
2020-10-06,133.685154673
2020-10-05,135.882044098
2020-10-02,136.010113885
2020-10-01,138.709430936
2020-09-30,136.542096077
2020-09-29,135.123476897
2020-09-28,135.921450186
2020-09-25,131.567077425
2020-09-24,129.626327575
2020-09-23,129.054939294
2020-09-22,130.187864334
2020-09-21,129.291375824
2020-09-18,129.517960832
2020-09-17,131.222274152
2020-09-16,132.975845083
2020-09-15,133.606342497
2020-09-14,134.640752315
2020-09-11,133.793521416
2020-09-10,132.759111597
2020-09-09,135.074219287
2020-09-08,133.537381842
2020-09-04,136.699720431
2020-09-03,137.300663278
2020-09-02,140.134352199
2020-09-01,136.124645701
2020-08-31,136.975485861
2020-08-28,136.858128597
2020-08-27,135.352043718
2020-08-26,135.420502121
2020-08-25,134.276268804
2020-08-24,134.60878105
2020-08-21,133.45476796
2020-08-20,133.709042031
2020-08-19,133.444988189
2020-08-18,135.068430331
2020-08-17,134.882614664
2020-08-14,134.530542874
2020-08-13,135.058650559
2020-08-12,134.765257401
2020-08-11,132.14427852
2020-08-10,132.985338907
2020-08-07,133.728601575
2020-08-06,132.867981644
2020-08-05,133.24939275
2020-08-04,134.442524927
2020-08-03,133.689482487
2020-07-31,134.628340594
2020-07-30,134.65767991
2020-07-29,134.892394436
2020-07-28,134.354506979
2020-07-27,134.638120366
2020-07-24,133.063577083
2020-07-23,134.061113821
2020-07-22,133.014678223
2020-07-21,131.469474256
2020-07-20,130.178544359
2020-07-17,131.69440901
2020-07-16,130.931586799
2020-07-15,130.745771132
2020-07-14,132.535469398
2020-07-13,131.938903309
2020-07-10,131.498813572
2020-07-09,129.787353481
2020-07-08,131.264099045
2020-07-07,130.628413868
2020-07-06,130.364360026
2020-07-02,129.924270288
2020-07-01,129.445061463
2020-06-30,129.347263744
2020-06-29,128.193250654
2020-06-26,126.090599686
2020-06-25,128.515983128
2020-06-24,126.706725318
2020-06-23,128.467084269
2020-06-22,128.163911338
2020-06-19,128.388846093
2020-06-18,129.855811885
2020-06-17,128.858275146
2020-06-16,128.770257199
2020-06-15,127.606464337
2020-06-12,126.15905809
2020-06-11,125.024604544
2020-06-10,131.176081097
2020-06-09,130.041627552
2020-06-08,129.298364884
2020-06-05,129.523299639
2020-06-04,127.694482285
2020-06-03,128.885621423
2020-06-02,128.701249581
2020-06-01,129.050585703
2020-05-29,127.653241215
2020-05-28,128.371321021
2020-05-27,126.935161409
2020-05-26,125.906560605
2020-05-22,126.61493663
2020-05-21,126.352934539
2020-05-20,127.371831561
2020-05-19,127.827909276
2020-05-18,131.505642337
2020-05-15,131.922904927
2020-05-14,129.137919733
2020-05-13,129.021474359
2020-05-12,129.002066797
2020-05-11,130.399411284
2020-05-08,130.253854567
2020-05-07,127.653241215
2020-05-06,126.906050065
2020-05-05,127.769686589
2020-05-04,127.041903002
2020-05-01,126.285008071
2020-04-30,128.371321021
2020-04-29,129.409625606
2020-04-28,132.28194483
2020-04-27,130.477041534
2020-04-24,130.380003722
2020-04-23,126.401453445
2020-04-22,128.6915458
2020-04-21,127.061310564
2020-04-20,130.564375564
2020-04-17,133.475509913
2020-04-16,131.622087711
2020-04-15,131.03015706
2020-04-14,134.300331312
2020-04-13,127.012791658
2020-04-09,129.671627697
2020-04-08,128.681842018
2020-04-07,126.61493663
2020-04-06,127.27479375
2020-04-03,120.899409525
2020-04-02,120.1910335
2020-04-01,114.621063111
2020-03-31,116.542411782
2020-03-30,121.763046048
2020-03-27,116.891747904
2020-03-26,116.697672281
2020-03-25,109.167538097
2020-03-24,110.467844773
2020-03-23,102.064370285
2020-03-20,100.851397639
2020-03-19,113.864168181
2020-03-18,117.338121837
2020-03-17,123.936693029
2020-03-16,109.740061186
2020-03-13,123.674690938
2020-03-12,111.923411948
2020-03-11,125.906560605
2020-03-10,130.166520537
2020-03-09,126.304415633
2020-03-06,133.19410026
2020-03-05,134.009217878
2020-03-04,137.223203291
2020-03-03,130.660312537
2020-03-02,132.587740071
2020-02-28,127.239128664
2020-02-27,131.421646413
2020-02-26,136.828080646
2020-02-25,135.980012531
2020-02-24,137.464131732
2020-02-21,140.557652925
2020-02-20,139.892690425
2020-02-19,140.249264519
2020-02-18,140.316724483
2020-02-14,141.656286619
2020-02-13,141.15515546
2020-02-12,140.779307091
2020-02-11,140.779307091
2020-02-10,140.374547309
2020-02-07,140.095070316
2020-02-06,139.092807999
2020-02-05,139.063896586
2020-02-04,138.023085717
2020-02-03,137.338848943
2020-01-31,136.866629197
2020-01-30,138.610951115
2020-01-29,136.587152204
2020-01-28,137.271388979
2020-01-27,136.982274849
2020-01-24,137.733971587
2020-01-23,138.437482637
2020-01-22,138.17727992
2020-01-21,136.712434994
2020-01-17,136.134206734
2020-01-16,134.544079018
2020-01-15,134.148956374
2020-01-14,131.884229021
2020-01-13,131.575840616
2020-01-10,129.648413082
2020-01-09,129.898978661
2020-01-08,129.812244422
2020-01-07,129.147281923
2020-01-06,131.209629384
2020-01-03,130.708498225
2020-01-02,130.891603841
2019-12-31,131.710760543
2019-12-30,131.84568047
2019-12-27,132.54919152
2019-12-26,131.730034818
2019-12-24,131.922777572
2019-12-23,132.067334637
2019-12-20,132.915402752
2019-12-19,131.51801779
2019-12-18,131.036160906
2019-12-17,131.22890366
2019-12-16,132.086608912
2019-12-13,132.934677027
2019-12-12,132.202254564
2019-12-11,132.125157463
2019-12-10,131.325275036
2019-12-09,132.182980289
2019-12-06,132.375723042
2019-12-05,131.392735
2019-12-04,131.397520052
2019-12-03,129.636621021
2019-12-02,130.038565365
2019-11-29,129.990714848
2019-11-27,130.067275675
2019-11-26,129.866303503
2019-11-25,128.076694163
2019-11-22,128.306376645
2019-11-21,128.15325499
2019-11-20,127.990563232
2019-11-19,128.784881816
2019-11-18,128.296806541
2019-11-15,128.057553956
2019-11-14,127.598188991
2019-11-13,127.559908577
2019-11-12,126.306225029
2019-11-11,126.698599269
2019-11-08,127.406786923
2019-11-07,127.588618888
2019-11-06,128.660470472
2019-11-05,128.248956024
2019-11-04,129.349517918
2019-11-01,131.043426225
2019-10-31,131.273108707
2019-10-30,131.014715915
2019-10-29,130.229967434
2019-10-28,130.698902502
2019-10-25,130.765893226
2019-10-24,131.962156154
2019-10-23,131.541071603
2019-10-22,130.785033432
2019-10-21,130.268247847
2019-10-18,130.392659192
